source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
3,4,CALM3,GRM5,1.3309159,0.0,0.89106303,0.55942756,0.5269998227872746,0.03985018,0.90379155,0.009288015356063672,0.0618910762778466
8,4,PSAP,SORT1,1.3303579,0.924,1.7220435,-0.035208307,-0.23838416432196774,0.013697521,0.9288731,1.0,0.062277641726338526
1,3,VCAN,EGFR,0.16372725,0.948,0.026672503,0.023329139,-0.29033682012378625,0.015597422,0.61909056,1.0,0.06257464748778681
4,4,CALM3,GRM5,1.3292397,0.0,0.88974655,0.5580823,0.536566851656454,0.039791305,0.9037272,0.009288015356063672,0.06305414551999768
3,7,PSAP,SORT1,1.3291196,0.848,0.9405,-0.068616614,0.003789378550490996,0.0074809473,0.90611356,1.0,0.0632489683213856
1,4,RIMS1,SLC17A7,1.3303211,0.0,0.8643083,0.48001355,0.5812891516931974,0.025617236,0.90245795,0.02046390776425765,0.0632489683213856
2,5,GNAS,ADCY1,1.3286979,0.05,1.1577207,0.08923314,0.1360209796737234,0.014205793,0.9145872,1.0,0.06363946640981977
3,3,TNFSF12,TNFRSF25,0.16755363,0.0,0.026815766,0.15642208,0.06518880741640048,0.03051999,0.61972195,0.4034901049085076,0.06379282209699358
8,6,CALM1,PTPRA,1.3399259,1.0,0.8587946,-0.17007047,-0.35683726893328016,0.010066348,0.90217584,1.0,0.06442381698628763
1,2,PSAP,SORT1,1.3265871,0.858,1.2548802,-0.061538823,-0.19748614058720093,0.009981599,0.9176827,1.0,0.06481767862563657
4,4,COL6A1,ITGA6,0.16433647,0.0,0.026903419,0.15749498,0.08391397463080677,0.03525136,0.6201064,0.33143507205201156,0.06501065986823884
1,3,PSAP,LRP1,1.3262091,0.0,1.25334,0.2119183,0.058386886531842874,0.020243652,0.91763633,0.4292475483274416,0.06501502402175854
3,3,CALM3,GRM5,1.3260896,0.0,0.86915994,0.5505569,0.5110023993949531,0.038870633,0.902704,0.009288015356063672,0.06521265996831138
4,3,CALM3,GRM5,1.3244134,0.0,0.8678759,0.5492116,0.5205694282641324,0.038813204,0.9026391,0.009288015356063672,0.06580722440663563
6,5,RTN4,CNTNAP1,1.3360991,0.0,0.8539421,0.2094858,0.2693143275047322,0.021233225,0.9019255,0.14439599953434826,0.06600596798908914
3,4,CALM3,KCNQ3,1.3230313,0.0,0.8552803,0.58041805,0.5725077000218199,0.044979196,0.90199476,0.002752685578420167,0.0662050017320747
4,4,CNTN4,PTPRG,0.16528322,0.0,0.026923852,0.22907975,0.19734810471111558,0.049048875,0.6201958,0.05748579896690605,0.06622816084809864
6,1,PSAP,LRP1,1.3224666,0.0,1.1848029,0.19887117,0.2060053822449528,0.019136656,0.9154861,0.27653026347986565,0.06640430394003839
1,6,GNAS,ADORA1,1.519082,0.0,0.8506515,0.39770618,0.49036378709053763,0.029466318,0.9017547,0.010129510328964815,0.06660388531345593
5,1,RTN4,LINGO1,1.3216181,0.001,1.0069494,0.17504448,0.08406150682577479,0.02108708,0.90897745,0.3300802038314025,0.06700389605343046
4,4,CALM3,KCNQ3,1.3213551,0.0,0.8540167,0.5790728,0.5820747288909993,0.04491274,0.9019294,0.002812496966934354,0.06720431437946416
3,6,PSAP,LRP1,1.3205035,0.0,0.90193427,0.15900832,-0.013961033825418245,0.014567829,0.9043174,0.9764726569468947,0.06740502239798615
4,3,PTDSS1,SCARB1,0.1651381,0.0,0.02727051,0.14692526,0.06476958977580444,0.027860899,0.6217014,0.405854298419221,0.06744532921104951
1,8,CALM3,PDE1C,1.3202689,0.0,1.2090284,0.44187242,0.6472478244646568,0.035646476,0.91626585,0.009288015356063672,0.06760599823172272
6,8,CALM1,PTPRA,1.3715957,1.0,0.84597397,-0.14756925,-0.3313575893569015,0.009916071,0.9015101,1.0,0.06800879657072481
0,8,CALM1,PTPRA,1.3692394,1.0,0.8443052,-0.14952989,0.03808515595699713,0.009896511,0.9014225,1.0,0.0684127086512386
3,3,RGMB,NEO1,0.16541377,0.051,0.027320497,0.09663854,-0.038672330463773746,0.022885205,0.6219167,1.0,0.06866215674672457
6,6,PSAP,GPR37L1,1.3186522,0.0,1.1689842,0.18550399,0.2229806949034221,0.019362396,0.9149646,0.25946707361727117,0.06881773372803224
1,1,CALM1,GRM3,1.7170845,0.0,0.8401151,0.09176681,-0.13015722630241594,0.009376385,0.9012011,1.0,0.06902065789691449
8,7,CALM1,PDE1C,1.3358675,1.0,0.84006363,-0.13227439,0.23516449835874664,0.013017772,0.90119845,1.0,0.06922386002032216
3,4,CNTN4,PTPRG,0.166985,0.0,0.02741879,0.23382977,0.18082765254104985,0.049950536,0.62233883,0.07869691479555703,0.06987864763074245
5,1,CALM1,KCNQ5,1.6051891,0.0,0.83381015,0.25703943,0.23361143959517167,0.026038343,0.90086526,0.030475392717746238,0.07085950566102125
5,1,CALM1,RYR2,1.605146,0.0,0.833558,0.16541237,0.06819912037085141,0.017014923,0.90085185,0.5101934884678869,0.071065216399749
1,4,VWF,ITGB1,0.16609217,0.142,0.02745205,0.05699213,-0.06344698277272656,0.017856864,0.6224813,1.0,0.07109480190967918
5,5,CALM1,INSR,1.6050617,0.0,0.833064,0.16573218,0.08559351831325551,0.018385498,0.9008253,0.3448647045402835,0.07127119300548672
2,5,PSAP,SORT1,1.3131778,0.876,1.6276127,-0.05452944,-0.048196365907582805,0.012946396,0.9269874,1.0,0.07209789028827843
1,3,FGF14,FGFR1,0.16828817,0.003,0.027590655,0.12814985,0.07641058681069601,0.024485167,0.62307286,0.3597794786068849,0.07231061963011085
4,4,PSAP,GPR37,1.329054,0.008,0.8303217,0.060839295,-0.46849232445374733,0.010866438,0.9006779,1.0,0.07251288745995377
3,4,CALM1,INSR,1.7715737,0.0,0.8260359,0.29036814,0.1332336787958076,0.018230388,0.9004462,0.36050156463899385,0.07272081194005794
3,7,CALM3,PDE1C,1.316585,0.0,0.826025,0.38724607,0.8773419587825946,0.02435417,0.90044564,0.04157229691637488,0.07292900142182979
5,4,PSAP,GPR37,1.3220983,0.031,0.825292,0.05509731,-0.3537279627944212,0.010800613,0.9004058,1.0,0.07334622018249624
8,3,ADAM10,TSPAN14,0.17305513,0.037,0.027741386,0.061926175,0.05778284518858792,0.021063609,0.6237124,0.6307118416681458,0.07352610083861344
5,3,CALM1,PDE1A,1.6036834,0.0,0.8250001,0.18043698,0.0132904285360268,0.019076362,0.90038997,0.6880848164272966,0.07355523795393079
4,7,CALM3,PDE1C,1.3149087,0.0,0.8248046,0.3859008,0.886908987651774,0.024318187,0.90037936,0.037211594819995,0.07376454299672135
1,5,RTN4,CNTNAP1,1.3090626,0.0,0.8338754,0.1869172,0.17387864797869773,0.020734267,0.9008688,0.169537626231964,0.07376454299672135
4,4,CALM1,INSR,1.7643018,0.0,0.82238686,0.28431666,0.14419390942047705,0.018149855,0.90024763,0.37183349427694423,0.07439408998279864
3,4,SERPINF1,PLXDC2,0.16712782,0.009,0.027771587,0.11498937,-0.024670246142404012,0.02688215,0.6238401,0.9183148518631529,0.07474124558176301
4,7,PSAP,GPR37,1.3268261,0.02,0.82008857,0.058665514,0.266575151632646,0.010732517,0.9001219,1.0,0.07523733930287242
4,2,PSAP,GPR37L1,1.3268257,0.0,0.82008684,0.15005256,0.06673383679344258,0.013583458,0.9001218,1.0,0.07544884839888918
1,3,RGMA,BMPR1B,0.16745226,0.0,0.027842494,0.14685732,0.07555801629601952,0.031512767,0.62413925,0.3623115350492799,0.0759560539061356
8,8,CALM1,PTPRA,1.3309044,1.0,0.81715643,-0.18142483,-0.2994731184711551,0.009578287,0.8999608,1.0,0.07629760018310915
5,7,PSAP,GPR37,1.3198704,0.038,0.8151209,0.05292353,0.38133951329197213,0.010667503,0.89984846,1.0,0.0765104722264493
1,1,PSAP,LRP1,1.3042891,0.0,1.1640301,0.1838648,0.11856128953912992,0.01880114,0.9147993,0.30639540256640696,0.0765104722264493
5,2,PSAP,GPR37L1,1.31987,0.0,0.81511915,0.14431058,0.1814981984527687,0.013501175,0.89984834,0.8376352823752637,0.07672363044614021
2,1,CALM1,KCNQ5,1.571337,0.0,0.81451243,0.22887403,0.2876857452434108,0.025435712,0.8998148,0.03706926708199304,0.07693705161360831
6,1,CNTN2,CNTN1,1.3029393,0.0,1.5991237,0.54610336,0.7494971155643951,0.042829446,0.92638755,0.002005766222340501,0.07715075880091574
2,1,CALM1,RYR2,1.5712938,0.004,0.8142661,0.13724697,0.12227342601909053,0.01662113,0.89980114,0.5688212803177263,0.07715075880091574
3,4,SLIT2,ROBO2,0.16890082,0.0,0.02792397,0.2648619,0.1889908701862802,0.056604892,0.624482,0.06808691160149369,0.0771705258583073
2,5,CALM1,INSR,1.5712094,0.004,0.8137836,0.13756678,0.13966782396149463,0.017959984,0.8997744,0.39879271981052344,0.07736472871990599
1,6,PSAP,GPR37L1,1.3004748,0.0,1.1484888,0.17049764,0.13553660219759922,0.019022921,0.914274,0.2864335062950025,0.07822336142966514
1,3,C3,GRM7,0.16744424,0.001,0.028008752,0.18159246,0.036021016277547585,0.0353159,0.62483734,0.5462742024790768,0.07838466148485407
3,4,CALM1,ADCYAP1R1,1.76913,0.0,0.8099455,0.34523833,0.2529411529176954,0.023301877,0.8995611,0.07081845706625042,0.07843871326920523
8,6,QDPR,DYSF,1.2998788,0.0,0.84188706,0.47956738,0.792843135294371,0.052548155,0.9012949,0.00037512361747974344,0.07865432719227221
3,5,CALM1,GRM5,1.7691058,0.0,0.8097861,0.3146525,0.2878659001836383,0.019034281,0.8995521,0.14138147439056278,0.07865432719227221
6,6,CALM1,INSR,1.3639718,0.985,0.80954534,-0.012658507,-0.1461367049377153,0.017866448,0.8995387,1.0,0.07908638769311083
6,1,PSAP,GPR37L1,1.2992479,0.0,1.0885129,0.16155988,0.1435223809167776,0.018029517,0.91214865,0.38570604738118053,0.07930282236069432
3,4,PSAP,GPR37,1.2997739,0.055,0.80914927,0.036666527,-0.505114485901347,0.010589354,0.8995166,1.0,0.07930282236069432
6,5,PSAP,GPR37L1,1.29861,0.0,1.0858674,0.16077268,0.12003992955478138,0.017985696,0.91205114,0.3929788058379992,0.07951954218694925
1,1,RSPO2,ZNRF3,0.16987585,0.0,0.02831595,0.25646746,0.2902775518498657,0.054870483,0.626115,0.009288015356063672,0.07959846083235203
0,6,CALM1,INSR,1.3616155,0.967,0.80794847,-0.014619149,0.22330604037618335,0.017831204,0.89944947,1.0,0.08017131762794402
4,4,CALM1,ADCYAP1R1,1.7618581,0.0,0.8063675,0.33918685,0.26390138354236486,0.02319894,0.89936084,0.0735216655432318,0.08060720382908027
3,4,SEMA6B,PLXNA4,0.17263073,0.0,0.02835352,0.22642967,0.12608430286760441,0.044095263,0.6262702,0.19055837436028158,0.08081192394737716
4,5,CALM1,GRM5,1.7618339,0.0,0.8062088,0.30860102,0.2988261308083077,0.018950196,0.89935195,0.14138147439056278,0.08082555031683007
2,3,CALM1,PDE1A,1.5698311,0.003,0.8059063,0.15227158,0.06736473418426592,0.018634858,0.8993349,0.39452292502370623,0.08104416954280104
5,4,SEMA6B,PLXNA4,0.17264664,0.0,0.028357798,0.22646278,0.21194014172367426,0.044101916,0.6262879,0.0431889467612624,0.08202505087650552
4,2,RTN4,LINGO1,1.356963,0.0,0.80041754,0.1631259,0.16884974452055107,0.016761983,0.8990252,0.5423371071448055,0.08258216889719747
3,7,PSAP,GPR37,1.297546,0.064,0.79917705,0.034492746,0.22995299018504634,0.010458847,0.89895475,1.0,0.08302404844766136
1,4,RGMA,NEO1,0.16949919,0.285,0.028585592,0.024098648,-0.1369284393401667,0.014801344,0.6272237,1.0,0.08323784166631318
3,2,PSAP,GPR37L1,1.2975457,0.0,0.7991754,0.1258798,0.030111675345842914,0.013237092,0.89895463,1.0,0.08324538999178704
1,4,CALM1,INSR,1.7099872,0.0,0.7951314,0.23912638,0.12294193060309044,0.017548334,0.898724,0.442579168977981,0.08391105659716992
1,4,FGF14,FGFR1,0.17104746,0.0,0.028668499,0.13515545,0.09837474517431671,0.025441691,0.62756217,0.2806997362229219,0.08445029636337616
8,2,RTN4,LINGO1,1.3416767,0.0,0.7901237,0.15036541,0.4034353983103796,0.016546413,0.8984361,0.5754628865518508,0.08524972843230443
4,3,RGMB,NEO1,0.16998929,0.03,0.028892955,0.10923382,-0.02193477233857344,0.024202386,0.6284731,0.9031109922335302,0.08566241501427048
3,2,RTN4,LINGO1,1.3380605,0.0,0.7876885,0.1473473,0.1311224716203619,0.016495416,0.8982952,0.5837168168546331,0.086147583152412
3,2,CALM1,PTPRA,1.7657388,0.0,0.78761643,0.15586783,0.04548440533189485,0.009232035,0.89829105,1.0,0.08637272028387373
4,2,CALM1,PTPRA,1.758467,0.0,0.78413707,0.14981635,0.05644463595656429,0.009191251,0.89808863,1.0,0.08682381793732633
6,4,TGFB3,ITGB1,0.17170018,0.042,0.029184837,0.0935524,-0.030273720251049907,0.029626247,0.6296458,0.9628132536206682,0.08687419766557221
