source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
5,4,CALM3,GRM5,0.8162224,0.0,0.53878003,0.31935918,0.35343783635494236,0.020914257,0.878746,0.0947656311778261,0.46085516489379397
4,6,APOE,LRP2,0.6420953,0.892,0.24553162,0.004450552,-0.2824838234323321,0.018888345,0.8302876,1.0,0.460927257330183
8,5,CALM3,RYR2,0.4854716,1.0,0.20111677,-0.08592971,-0.31213015536402827,0.0073742154,0.8157624,1.0,0.460927257330183
3,1,FGF13,FGFR1,0.6054047,0.001,0.1992957,0.9218993,0.8860218580712149,0.094388865,0.81507784,5.672358125322504e-05,0.4613002215928701
4,4,PSEN1,CD44,0.4847482,0.948,0.2141938,-0.031113751,-0.444148335407478,0.020317674,0.82044935,1.0,0.4613002215928701
2,0,CNTN2,NRCAM,0.4967533,0.931,0.24555616,-0.16288704,-0.23097849097051115,0.0063235075,0.8302946,1.0,0.4613002215928701
7,5,VIM,CD44,0.81617236,0.943,0.63302946,-0.094624065,-0.12311378990200694,0.012153045,0.8870757,1.0,0.4613395696655085
3,8,SLITRK3,PTPRD,0.27346823,0.118,0.05641103,0.12697847,0.052482669732927104,0.035660222,0.7010466,0.3995015744786906,0.46144941651920346
5,1,VIM,CD44,0.5796627,0.952,0.2455629,-0.2804401,-0.8550496078894213,0.0047143726,0.83029664,1.0,0.46167338699334937
8,5,RTN4,CNTNAP1,1.1699619,0.167,0.4784762,0.032737833,0.11098687604534807,0.010017223,0.8722786,1.0,0.4618241637712748
3,2,CNTN1,NRCAM,0.8161684,0.09,0.6186206,0.13804042,-0.014237430776347426,0.012968142,0.8859173,1.0,0.4618241637712748
1,3,HSPG2,LRP1,0.48604771,0.0,0.19906755,1.1911134,0.8293478891593479,0.18202022,0.81499153,4.624710746473162e-05,0.4618599680908634
1,3,F8,LRP1,0.48604771,0.0,0.19906755,1.2539177,0.8320754245563369,0.19711591,0.81499153,4.088273543798203e-05,0.4618599680908634
4,7,TIMP3,CD44,0.5538759,0.728,0.24561039,0.005415015,0.1426637530815416,0.017850967,0.83031017,1.0,0.46204659945164217
5,0,PTN,NCL,0.48454994,1.0,0.2261514,-0.1932438,-0.33476129869110327,0.009349854,0.8244158,1.0,0.46204659945164217
0,8,PSAP,GPR37,0.9719649,0.572,0.47829738,-0.0060951877,0.1989121816169287,0.012902944,0.87225777,1.0,0.4623089471026832
4,8,PTN,SDC4,0.4842125,0.024,0.21994321,0.08532496,-0.013509092906489939,0.020019168,0.82239205,0.6937808354814264,0.4624201672073014
4,6,HLA-A,APLP2,0.49691427,0.083,0.24563083,0.08987913,0.011887261751513778,0.0144265,0.83031607,0.6906811828459252,0.4624201672073014
6,1,SEMA6A,PLXNA4,0.2491366,0.036,0.05641541,0.3962804,0.31101969145058944,0.06611278,0.7010547,0.04486791390747433,0.46261192666234097
2,5,VCAN,CD44,0.81574154,0.365,0.6321694,0.03578053,0.0597670245441454,0.020245833,0.8870076,0.6316210632290903,0.4627939195513239
1,1,SPP1,S1PR1,0.75047857,0.503,0.24567229,0.075934514,-0.29911157631480567,0.023493648,0.830328,1.0,0.4627939362633953
4,4,CD99,CD81,0.591172,0.82,0.19886446,-0.07670273,-0.6181537139939646,0.008932597,0.8149146,1.0,0.4627939362633953
4,8,PTN,PTPRZ1,0.48393452,0.025,0.219741,0.08996391,0.1158797329512361,0.019395232,0.8223249,0.26041146510704183,0.4627939362633953
4,7,LRPAP1,SORT1,0.48379016,0.463,0.22147225,0.08186201,0.48540932027265454,0.013693245,0.8228975,0.8746008273425626,0.4631677522907096
7,2,CNTN1,NRCAM,0.5045201,0.93,0.24576467,-0.15650836,-0.13795042856067885,0.0051519643,0.8303544,1.0,0.4631677522907096
6,3,CALM1,PDE1A,1.2696975,0.568,0.47812176,0.08447501,-0.11780226166707455,0.016364122,0.8722373,1.0,0.46327903093594436
7,6,C3,LRP1,0.48359057,0.16,0.22978291,0.06715841,0.4292165595239158,0.01839141,0.8255659,0.38253832760653045,0.4635419240272024
4,1,BCAN,NRCAM,0.76165414,0.072,0.2457884,0.28317726,0.11275879271301298,0.015320243,0.83036125,0.5422568821682486,0.4635419240272024
3,1,TF,LDLR,0.49589938,0.957,0.1988363,-0.012552291,-0.31642927604223736,0.019817058,0.81490386,1.0,0.4635419240272024
3,1,ADAM10,TSPAN14,0.23773152,0.172,0.056424927,0.18761389,0.09024618858766215,0.037789,0.70107234,0.2753123124692639,0.46377411181923994
1,7,LRPAP1,SORL1,0.4958033,0.173,0.24581729,0.21097854,0.6242037038231223,0.018647451,0.8303695,0.25514620466258253,0.46391629722677247
7,5,PKM,CD44,0.81504536,0.675,0.6307796,-0.026148709,0.14521582807359756,0.012453672,0.88689727,1.0,0.464249920404736
4,2,CD47,SIRPA,0.49856395,0.058,0.24607533,0.19208616,0.1405784825908205,0.016544336,0.83044344,0.3678543391543118,0.4644781575507665
2,4,SIRPA,CD47,0.49856395,0.058,0.24607533,0.19208616,0.1405784825908205,0.016544336,0.83044344,0.3678543391543118,0.4644781575507665
1,4,LRPAP1,SORT1,0.8147995,0.006,0.56334764,0.42782795,0.4979164819157573,0.03483081,0.8811015,0.010442059085056138,0.4647356482187428
7,3,CALM1,INSR,0.9579622,1.0,0.47657377,-0.25001913,-0.2468173434961331,0.012140482,0.8720565,1.0,0.4647356482187428
4,4,NLGN2,NRXN1,0.5877718,0.0,0.19878568,0.34944883,0.3491746929620675,0.03162365,0.81488466,0.0057515471385961555,0.46485303460364263
4,4,NRXN1,NLGN2,0.5877718,0.0,0.19878568,0.34944883,0.3491746929620675,0.03162365,0.81488466,0.0057515471385961555,0.46485303460364263
3,0,NCAN,SDC3,0.24133146,0.417,0.05645373,0.012502719,0.048671142595378136,0.011447013,0.7011258,1.0,0.4649359120820158
5,1,SPP1,ITGA9_ITGB1,0.79438865,0.115,0.24610417,0.33057922,0.10486501256810882,0.05182358,0.8304516,0.23711596478149916,0.46504047134686155
0,8,FGF1,FGFR2,0.4828731,0.721,0.21963719,-0.025016364,0.13355466555736561,0.017841324,0.82229036,1.0,0.46504047134686155
2,6,NCAM1,PTPRZ1,0.81454873,0.417,0.5399139,0.012810685,-0.1044591983667299,0.011567267,0.8788579,1.0,0.46522156460794406
3,6,CD99,CD81,0.65123224,0.502,0.24655111,-0.021818757,-0.29173830962753194,0.011074586,0.83057934,1.0,0.4654156508577101
2,2,HSPA8,LRP2,0.52365637,0.241,0.19874367,0.13896926,0.23190089752630583,0.024606187,0.81486875,0.37677079723823664,0.4654156508577101
6,5,NCAM1,PTPRA,0.8145422,0.014,0.5312257,0.1135948,0.1311031720742427,0.016535342,0.8779917,0.36920665460646035,0.46570761929376736
