	soma_joinid	citation	collection_id	collection_name	collection_doi	collection_doi_label	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count	doi	abstract	species	tissue	disease
9	9	Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	King et al. (2021) Sci. Immunol.	00ff600e-6e2e-4d76-846f-0eec4f0ae417	3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb	Human tonsil nonlymphoid cells scRNA	00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad	363	https://doi.org/10.1126/sciimmunol.abe6291	Integrated single-cell transcriptomic and BCR analyses reveal how antibody class switching influences human B cell fate and function.	human	blood	healthy
23	23	Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/f223d2b0-d878-443b-8bef-f182fe1f22d1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	Rodríguez-Ubreva et al. (2022) Nat Commun	a5d95a42-0137-496f-8a60-101e17f263c8	f223d2b0-d878-443b-8bef-f182fe1f22d1	Steady-state B cells - scRNA-seq	a5d95a42-0137-496f-8a60-101e17f263c8.h5ad	1324	https://doi.org/10.1038/s41467-022-29450-x	Abstract Common variable immunodeficiency (CVID), the most prevalent symptomatic primary immunodeficiency, displays impaired terminal B-cell differentiation and defective antibody responses. Incomplete genetic penetrance and ample phenotypic expressivity in CVID suggest the participation of additional pathogenic mechanisms. Monozygotic (MZ) twins discordant for CVID are uniquely valuable for studying the contribution of epigenetics to the disease. Here, we generate a single-cell epigenomics and transcriptomics census of naive-to-memory B cell differentiation in a CVID-discordant MZ twin pair. Our analysis identifies DNA methylation, chromatin accessibility and transcriptional defects in memory B-cells mirroring defective cell-cell communication upon activation. These findings are validated in a cohort of CVID patients and healthy donors. Our findings provide a comprehensive multi-omics map of alterations in naive-to-memory B-cell transition in CVID and indicate links between the epigenome and immune cell cross-talk. Our resource, publicly available at the Human Cell Atlas, gives insight into future diagnosis and treatments of CVID patients.	human	blood	immunodeficiency
25	25	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	Triana et al. (2021) Nat Immunol	d3566d6a-a455-4a15-980f-45eb29114cab	8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1	blood and bone marrow from a healthy young donor	d3566d6a-a455-4a15-980f-45eb29114cab.h5ad	15502	https://doi.org/10.1038/s41590-021-01059-0	Abstract Single-cell genomics technology has transformed our understanding of complex cellular systems. However, excessive cost and a lack of strategies for the purification of newly identified cell types impede their functional characterization and large-scale profiling. Here, we have generated high-content single-cell proteo-genomic reference maps of human blood and bone marrow that quantitatively link the expression of up to 197 surface markers to cellular identities and biological processes across all main hematopoietic cell types in healthy aging and leukemia. These reference maps enable the automatic design of cost-effective high-throughput cytometry schemes that outperform state-of-the-art approaches, accurately reflect complex topologies of cellular systems and permit the purification of precisely defined cell states. The systematic integration of cytometry and proteo-genomic data enables the functional capacities of precisely mapped cell states to be measured at the single-cell level. Our study serves as an accessible resource and paves the way for a data-driven era in cytometry.	human	blood	cancer
32	32	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/3e706d81-4387-4405-9401-795671be1d8f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	de17ac25-550a-4018-be75-bbb485a0636e	3e706d81-4387-4405-9401-795671be1d8f	Myeloid cells of human eye	de17ac25-550a-4018-be75-bbb485a0636e.h5ad	395	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
120	120	Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/60db04d8-1866-4193-b586-611400abf8c5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	Nowicki-Osuch et al. (2023) Cancer Discovery	94423ec1-21f8-40e8-b5c9-c3ea82350ca4	60db04d8-1866-4193-b586-611400abf8c5	UMAP of Myeloid cells	94423ec1-21f8-40e8-b5c9-c3ea82350ca4.h5ad	3282	https://doi.org/10.1158/2159-8290.cd-22-0824	Abstract Intestinal metaplasia in the esophagus (Barrett's esophagus IM, or BE-IM) and stomach (GIM) are considered precursors for esophageal and gastric adenocarcinoma, respectively. We hypothesize that BE-IM and GIM follow parallel developmental trajectories in response to differing inflammatory insults. Here, we construct a single-cell RNA-sequencing atlas, supported by protein expression studies, of the entire gastrointestinal tract spanning physiologically normal and pathologic states including gastric metaplasia in the esophagus (E-GM), BE-IM, atrophic gastritis, and GIM. We demonstrate that BE-IM and GIM share molecular features, and individual cells simultaneously possess transcriptional properties of gastric and intestinal epithelia, suggesting phenotypic mosaicism. Transcriptionally E-GM resembles atrophic gastritis; genetically, it is clonal and has a lower mutational burden than BE-IM. Finally, we show that GIM and BE-IM acquire a protumorigenic, activated fibroblast microenvironment. These findings suggest that BE-IM and GIM can be considered molecularly similar entities in adjacent organs, opening the path for shared detection and treatment strategies. Significance: Our data capture the gradual molecular and phenotypic transition from a gastric to intestinal phenotype (IM) in the esophagus and stomach. Because BE-IM and GIM can predispose to cancer, this new understanding of a common developmental trajectory could pave the way for a more unified approach to detection and treatment. See related commentary by Stachler, p. 1291. This article is highlighted in the In This Issue feature, p. 1275	human	intestine	cancer
184	184	Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/8651e63c-0f98-4a87-bdbd-2da41bdf6de5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc	b9fc3d70-5a72-4479-a046-c2cc1ab19efc	A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses	10.1016/j.isci.2021.103115	Jin et al. (2021) iScience	e763ed0d-0e5a-4b8e-9514-6da3d9e47956	8651e63c-0f98-4a87-bdbd-2da41bdf6de5	Platelet sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets	e763ed0d-0e5a-4b8e-9514-6da3d9e47956.h5ad	7274	https://doi.org/10.1016/j.isci.2021.103115		human	blood	covid19
192	192	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/3ccc81ed-a468-4a4b-ab33-4cf80c9d7748.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	d95ab381-2b7c-4885-b168-0097ed4e397f	3ccc81ed-a468-4a4b-ab33-4cf80c9d7748	Cone cells of human eye	d95ab381-2b7c-4885-b168-0097ed4e397f.h5ad	1378	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
195	195	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/a48b7e8a-9db3-45f1-9729-c87738c0082f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	Triana et al. (2021) Nat Immunol	b3a5a10f-b1cb-4e8e-abce-bf345448625b	a48b7e8a-9db3-45f1-9729-c87738c0082f	15 leukemic bone marrow donors	b3a5a10f-b1cb-4e8e-abce-bf345448625b.h5ad	31586	https://doi.org/10.1038/s41590-021-01059-0	Abstract Single-cell genomics technology has transformed our understanding of complex cellular systems. However, excessive cost and a lack of strategies for the purification of newly identified cell types impede their functional characterization and large-scale profiling. Here, we have generated high-content single-cell proteo-genomic reference maps of human blood and bone marrow that quantitatively link the expression of up to 197 surface markers to cellular identities and biological processes across all main hematopoietic cell types in healthy aging and leukemia. These reference maps enable the automatic design of cost-effective high-throughput cytometry schemes that outperform state-of-the-art approaches, accurately reflect complex topologies of cellular systems and permit the purification of precisely defined cell states. The systematic integration of cytometry and proteo-genomic data enables the functional capacities of precisely mapped cell states to be measured at the single-cell level. Our study serves as an accessible resource and paves the way for a data-driven era in cytometry.	human	blood	cancer
206	206	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/43b4f17f-ed8f-4715-81f4-a6e4ded3c5b9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	9cfee1e6-b24f-433d-a269-f01841655d6a	43b4f17f-ed8f-4715-81f4-a6e4ded3c5b9	Retinal pigment epithelial cells of human eye	9cfee1e6-b24f-433d-a269-f01841655d6a.h5ad	1635	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
208	208	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/de10d87c-30c2-4bd1-b0f6-a8aca1c09cfc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	4269074c-f2c1-4d88-b2c3-0946f59d5449	de10d87c-30c2-4bd1-b0f6-a8aca1c09cfc	Spatiotemporal analysis of human intestinal development at single-cell resolution: Immune	4269074c-f2c1-4d88-b2c3-0946f59d5449.h5ad	2199	https://doi.org/10.1016/j.cell.2020.12.016		human	intestine	healthy
209	209	Publication: https://doi.org/10.7554/eLife.71752 Dataset Version: https://datasets.cellxgene.cziscience.com/3a927037-cc1f-4262-8317-4bf37abea3e3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/741abcf7-af4b-425d-88db-7e0b0d845719	741abcf7-af4b-425d-88db-7e0b0d845719	Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons.	10.7554/eLife.71752	Nguyen et al. (2021) eLife	d973ea15-3722-4bc8-a0e8-1d956d26e203	3a927037-cc1f-4262-8317-4bf37abea3e3	Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons	d973ea15-3722-4bc8-a0e8-1d956d26e203.h5ad	1837	https://doi.org/10.7554/eLife.71752	Somatosensory neurons with cell bodies in the dorsal root ganglia (DRG) project to the skin, muscles, bones, and viscera to detect touch and temperature as well as to mediate proprioception and many types of interoception. In addition, the somatosensory system conveys the clinically relevant noxious sensations of pain and itch. Here, we used single nuclear transcriptomics to characterize transcriptomic classes of human DRG neurons that detect these diverse types of stimuli. Notably, multiple types of human DRG neurons have transcriptomic features that resemble their mouse counterparts although expression of genes considered important for sensory function often differed between species. More unexpectedly, we identified several transcriptomic classes with no clear equivalent in the other species. This dataset should serve as a valuable resource for the community, for example as means of focusing translational efforts on molecules with conserved expression across species.	mouse	skin	healthy
226	226	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/b8ac4433-b426-4e90-b0ed-52e0d7ad4e2b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	c3d381b2-3104-444e-8ad5-d3524407bbb6	b8ac4433-b426-4e90-b0ed-52e0d7ad4e2b	Horizontal cells of human eye	c3d381b2-3104-444e-8ad5-d3524407bbb6.h5ad	1875	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
228	228	Publication: https://doi.org/10.1016/j.cell.2017.09.004 Dataset Version: https://datasets.cellxgene.cziscience.com/63f34121-d3a1-49e2-b397-14f499f53082.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a238e9fa-2bdf-41df-8522-69046f99baff	a238e9fa-2bdf-41df-8522-69046f99baff	Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns	10.1016/j.cell.2017.09.004	Enge et al. (2017) Cell	66d15835-5dc8-4e96-b0eb-f48971cb65e8	63f34121-d3a1-49e2-b397-14f499f53082	Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns	66d15835-5dc8-4e96-b0eb-f48971cb65e8.h5ad	2544	https://doi.org/10.1016/j.cell.2017.09.004		human	pancreas	healthy
249	249	Publication: https://doi.org/10.1101/2022.02.18.481097 Dataset Version: https://datasets.cellxgene.cziscience.com/c1c89621-0fed-4b3f-a4a2-489623d84b0c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d5cad3f0-56b6-4fbe-8f2b-be92a8c7820f	d5cad3f0-56b6-4fbe-8f2b-be92a8c7820f	Developmental trajectories of thalamic nuclei revealed by single-cell transcriptome profiling and Shh perturbation	10.1101/2022.02.18.481097	Govek et al. (2022) bioRxiv	6de332e1-465e-4243-9412-6fdc7497e99d	c1c89621-0fed-4b3f-a4a2-489623d84b0c	e12.5 thalamic progenitors	6de332e1-465e-4243-9412-6fdc7497e99d.h5ad	1789	https://doi.org/10.1101/2022.02.18.481097	Abstract The thalamus is the principal information hub of the vertebrate brain, with essential roles in sensory and motor information processing, attention, and memory. The molecular mechanisms regulating the formation of thalamic nuclei are unclear. We apply longitudinal single-cell RNA-sequencing, regional abrogation of Sonic-hedgehog (Shh), and spatial profiling of gene expression to map the developmental trajectories of thalamic progenitors, intermediate progenitors, and post-mitotic neurons as they coalesce into distinct thalamic nuclei. These data reveal that the complex architecture of the thalamus is established early during embryonic brain development through the coordinated action of four cell differentiation lineages derived from Shh-dependent and independent progenitors. We systematically characterize the gene expression programs that define these lineages across time and demonstrate how their disruption upon Shh depletion causes pronounced locomotor impairment resembling infantile Parkinson's disease. These results reveal key principles of thalamic development and provide mechanistic insights into neurodevelopmental disorders resulting from thalamic dysfunction.	human	brain	neurodegenerative
263	263	Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/982cb9a0-9adb-4f05-b7b7-b04c1ec6c36f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	Nowicki-Osuch et al. (2023) Cancer Discovery	faed4f71-6b50-4fc7-bd1c-8f385dccfdce	982cb9a0-9adb-4f05-b7b7-b04c1ec6c36f	UMAP of Endothelial cells	faed4f71-6b50-4fc7-bd1c-8f385dccfdce.h5ad	3951	https://doi.org/10.1158/2159-8290.cd-22-0824	Abstract Intestinal metaplasia in the esophagus (Barrett's esophagus IM, or BE-IM) and stomach (GIM) are considered precursors for esophageal and gastric adenocarcinoma, respectively. We hypothesize that BE-IM and GIM follow parallel developmental trajectories in response to differing inflammatory insults. Here, we construct a single-cell RNA-sequencing atlas, supported by protein expression studies, of the entire gastrointestinal tract spanning physiologically normal and pathologic states including gastric metaplasia in the esophagus (E-GM), BE-IM, atrophic gastritis, and GIM. We demonstrate that BE-IM and GIM share molecular features, and individual cells simultaneously possess transcriptional properties of gastric and intestinal epithelia, suggesting phenotypic mosaicism. Transcriptionally E-GM resembles atrophic gastritis; genetically, it is clonal and has a lower mutational burden than BE-IM. Finally, we show that GIM and BE-IM acquire a protumorigenic, activated fibroblast microenvironment. These findings suggest that BE-IM and GIM can be considered molecularly similar entities in adjacent organs, opening the path for shared detection and treatment strategies. Significance: Our data capture the gradual molecular and phenotypic transition from a gastric to intestinal phenotype (IM) in the esophagus and stomach. Because BE-IM and GIM can predispose to cancer, this new understanding of a common developmental trajectory could pave the way for a more unified approach to detection and treatment. See related commentary by Stachler, p. 1291. This article is highlighted in the In This Issue feature, p. 1275	human	intestine	cancer
277	277	Publication: https://doi.org/10.1016/j.celrep.2017.10.030 Dataset Version: https://datasets.cellxgene.cziscience.com/6ec440b4-542a-4022-ac01-56f812e25593.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/558385a4-b7b7-4eca-af0c-9e54d010e8dc	558385a4-b7b7-4eca-af0c-9e54d010e8dc	Single-Cell RNAseq analysis of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma	10.1016/j.celrep.2017.10.030	Darmanis et al. (2017) Cell Reports	774c18c5-efa1-4dc5-9e5e-2c824bab2e34	6ec440b4-542a-4022-ac01-56f812e25593	Infiltrating Neoplastic Cells Human Glioblastoma	774c18c5-efa1-4dc5-9e5e-2c824bab2e34.h5ad	3589	https://doi.org/10.1016/j.celrep.2017.10.030		human	brain	cancer
291	291	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/51b86e08-45aa-4c54-8b56-fb75f71ca099.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	58679288-9ecc-4647-9781-12a3a8f8c6fd	51b86e08-45aa-4c54-8b56-fb75f71ca099	Spatiotemporal analysis of human intestinal development at single-cell resolution: Myofibroblasts and Mesothelium	58679288-9ecc-4647-9781-12a3a8f8c6fd.h5ad	2833	https://doi.org/10.1016/j.cell.2020.12.016		human	intestine	healthy
295	295	Publication: https://doi.org/10.1126/science.abo1984 Dataset Version: https://datasets.cellxgene.cziscience.com/d47e830a-f10f-4d1d-bd8b-f45d5dd4ca24.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb	e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb	Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies	10.1126/science.abo1984	Reichart et al. (2022) Science	bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7	d47e830a-f10f-4d1d-bd8b-f45d5dd4ca24	DCM/ACM heart cell atlas: Adipocytes	bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7.h5ad	2576	https://doi.org/10.1126/science.abo1984	Pathogenic variants in genes that cause dilated cardiomyopathy (DCM) and arrhythmogenic cardiomyopathy (ACM) convey high risks for the development of heart failure through unknown mechanisms. Using single-nucleus RNA sequencing, we characterized the transcriptome of 880,000 nuclei from 18 control and 61 failing, nonischemic human hearts with pathogenic variants in DCM and ACM genes or idiopathic disease. We performed genotype-stratified analyses of the ventricular cell lineages and transcriptional states. The resultant DCM and ACM ventricular cell atlas demonstrated distinct right and left ventricular responses, highlighting genotype-associated pathways, intercellular interactions, and differential gene expression at single-cell resolution. Together, these data illuminate both shared and distinct cellular and molecular architectures of human heart failure and suggest candidate therapeutic targets.	human	heart	cardiovascular
301	301	Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/6345ae7e-2a7e-4581-96be-dfdcbe2eab90.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	Nowicki-Osuch et al. (2023) Cancer Discovery	9b188f26-c8e1-4a78-af15-622a35a371fc	6345ae7e-2a7e-4581-96be-dfdcbe2eab90	UMAP of Fibroblasts cells	9b188f26-c8e1-4a78-af15-622a35a371fc.h5ad	5754	https://doi.org/10.1158/2159-8290.cd-22-0824	Abstract Intestinal metaplasia in the esophagus (Barrett's esophagus IM, or BE-IM) and stomach (GIM) are considered precursors for esophageal and gastric adenocarcinoma, respectively. We hypothesize that BE-IM and GIM follow parallel developmental trajectories in response to differing inflammatory insults. Here, we construct a single-cell RNA-sequencing atlas, supported by protein expression studies, of the entire gastrointestinal tract spanning physiologically normal and pathologic states including gastric metaplasia in the esophagus (E-GM), BE-IM, atrophic gastritis, and GIM. We demonstrate that BE-IM and GIM share molecular features, and individual cells simultaneously possess transcriptional properties of gastric and intestinal epithelia, suggesting phenotypic mosaicism. Transcriptionally E-GM resembles atrophic gastritis; genetically, it is clonal and has a lower mutational burden than BE-IM. Finally, we show that GIM and BE-IM acquire a protumorigenic, activated fibroblast microenvironment. These findings suggest that BE-IM and GIM can be considered molecularly similar entities in adjacent organs, opening the path for shared detection and treatment strategies. Significance: Our data capture the gradual molecular and phenotypic transition from a gastric to intestinal phenotype (IM) in the esophagus and stomach. Because BE-IM and GIM can predispose to cancer, this new understanding of a common developmental trajectory could pave the way for a more unified approach to detection and treatment. See related commentary by Stachler, p. 1291. This article is highlighted in the In This Issue feature, p. 1275	human	intestine	cancer
309	309	Publication: https://doi.org/10.1186/s40478-024-01853-5 Dataset Version: https://datasets.cellxgene.cziscience.com/f9bca543-f82a-4863-bd62-b270b634ea10.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/7c4552fd-8a6d-4da3-9854-2dfa8baca8bf	7c4552fd-8a6d-4da3-9854-2dfa8baca8bf	Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling	10.1186/s40478-024-01853-5	Pan et al. (2024) acta neuropathol commun	fe2eecbc-977a-4aec-9196-f89c3281d11c	f9bca543-f82a-4863-bd62-b270b634ea10	Microglia	fe2eecbc-977a-4aec-9196-f89c3281d11c.h5ad	1621	https://doi.org/10.1186/s40478-024-01853-5	Abstract CSF1R-related disorder (CSF1R-RD) is a neurodegenerative condition that predominantly affects white matter due to genetic alterations in the CSF1R gene, which is expressed by microglia. We studied an elderly man with a hereditary, progressive dementing disorder of unclear etiology. Standard genetic testing for leukodystrophy and other neurodegenerative conditions was negative. Brain autopsy revealed classic features of adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP), including confluent white matter degeneration with axonal spheroids and pigmented glial cells in the affected white matter, consistent with CSF1R-RD. Subsequent long-read sequencing identified a novel deletion in CSF1R that was not detectable with short-read exome sequencing. To gain insight into potential mechanisms underlying white matter degeneration in CSF1R-RD, we studied multiple brain regions exhibiting varying degrees of white matter pathology. We found decreased CSF1R transcript and protein across brain regions, including intact white matter. Single nuclear RNA sequencing (snRNAseq) identified two disease-associated microglial cell states: lipid-laden microglia (expressing GPNMB, ATG7, LGALS1, LGALS3) and inflammatory microglia (expressing IL2RA, ATP2C1, FCGBP, VSIR, SESN3), along with a small population of CD44+ peripheral monocyte-derived macrophages exhibiting migratory and phagocytic signatures. GPNMB+ lipid-laden microglia with ameboid morphology represented the end-stage disease microglia state. Disease-associated oligodendrocytes exhibited cell stress signatures and dysregulated apoptosis-related genes. Disease-associated oligodendrocyte precursor cells (OPCs) displayed a failure in their differentiation into mature myelin-forming oligodendrocytes, as evidenced by upregulated LRP1, PDGFRA, SOX5, NFIA, and downregulated NKX2-2, NKX6.2, SOX4, SOX8, TCF7L2, YY1, ZNF488. Overall, our findings highlight microglia-oligodendroglia crosstalk in demyelination, with CSF1R dysfunction promoting phagocytic and inflammatory microglia states, an arrest in OPC differentiation, and oligodendrocyte depletion.	human	brain	neurodegenerative
322	322	Publication: https://doi.org/10.1073/pnas.2103240118 Dataset Version: https://datasets.cellxgene.cziscience.com/f35f3d46-884f-4b38-b60c-655a59051c32.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780	1df8c90d-d299-4b2e-a54d-a5a80f36e780	Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	10.1073/pnas.2103240118	Zhang et al. (2021) Proc. Natl. Acad. Sci. U.S.A.	4c6f9f26-5470-455b-8933-c408232fbf56	f35f3d46-884f-4b38-b60c-655a59051c32	chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	4c6f9f26-5470-455b-8933-c408232fbf56.h5ad	2576	https://doi.org/10.1073/pnas.2103240118	Significance Renal cell carcinomas (RCCs) are heterogeneous malignancies thought to arise from kidney tubular epithelial cells, and clear cell RCC is the most common entity. This study demonstrates that cell atlases generated from benign kidney and two common RCCs using single-cell RNA sequencing can predict putative cells of origin for more than 10 RCC subtypes. A focused analysis of distinct cell-type compartments reveals the potential role of tumor epithelia in promoting immune infiltration and other molecular attributes of the tumor microenvironment. Finally, an observed association between the lack of immunotherapy response and endothelial cell fraction has important clinical implications. The current study, therefore, significantly contributes toward understanding disease ontogenies and the molecular dynamics of tumor epithelia and the microenvironment.	human	kidney	cancer
